Welcome to the profile statistics browser.
profiling.data% profiling.data% profiling.data% Thu Sep 15 15:37:01 2016    profiling.data

         16958841 function calls (16955127 primitive calls) in 29.129 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    72704   15.094    0.000   23.519    0.000 graph.py:52(path_cost)
 14540800    8.425    0.000    8.425    0.000 graph.py:291(__getitem__)
    68880    1.116    0.000    1.165    0.000 ga.py:45(weighted_choice)
    68880    0.897    0.000    0.897    0.000 {method 'argsort' of 'numpy.ndarray' objects}
    34440    0.561    0.000    3.044    0.000 chromosome.py:69(__ordered_crossover_single)
    34440    0.512    0.000    1.702    0.000 arraysetops.py:283(in1d)
     6854    0.273    0.000    0.366    0.000 {method 'choice' of 'mtrand.RandomState' objects}
   103320    0.210    0.000    0.210    0.000 {built-in method where}
   179832    0.208    0.000    0.208    0.000 {built-in method array}
    68880    0.180    0.000    0.180    0.000 {built-in method concatenate}
    34440    0.135    0.000    0.135    0.000 {method 'rand' of 'mtrand.RandomState' objects}
      280    0.130    0.000   28.448    0.102 ga.py:56(evolve)
    68880    0.122    0.000    0.122    0.000 chromosome.py:29(__getitem__)
     6854    0.095    0.000    0.133    0.000 function_base.py:3112(delete)
     6854    0.085    0.000    0.121    0.000 function_base.py:3305(insert)
    69904    0.076    0.000    0.299    0.000 chromosome.py:9(__init__)
     9442    0.073    0.000    0.073    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      284    0.066    0.000   23.628    0.083 ga.py:36(calculate_fitness)
    97206    0.047    0.000    0.114    0.000 numeric.py:392(asarray)
    68880    0.044    0.000    0.050    0.000 random.py:342(uniform)
    72704    0.043    0.000   23.562    0.000 ga.py:33(fitness)
    34440    0.042    0.000    3.086    0.000 chromosome.py:36(crossover)
    68880    0.041    0.000    0.311    0.000 chromosome.py:124(copy)
      304    0.041    0.000    0.056    0.000 {method 'sort' of 'list' objects}
    68880    0.040    0.000    0.168    0.000 function_base.py:786(copy)
    39800    0.038    0.000    0.049    0.000 graph.py:648(add_edge)
   162897    0.037    0.000    0.037    0.000 {built-in method isinstance}
     6854    0.034    0.000    0.672    0.000 chromosome.py:100(order_mutation)
    68880    0.029    0.000    0.029    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        1    0.028    0.028    0.140    0.140 graph.py:12(__generate)
     1024    0.028    0.000    0.028    0.000 {method 'shuffle' of 'mtrand.RandomState' objects}
    677/1    0.024    0.000   29.130   29.130 {built-in method exec}
    39800    0.024    0.000    0.052    0.000 random.py:170(randrange)
    39800    0.021    0.000    0.028    0.000 random.py:220(_randbelow)
     6854    0.021    0.000    0.093    0.000 fromnumeric.py:2249(prod)
     7878    0.018    0.000    0.018    0.000 {built-in method arange}
      277    0.017    0.000    0.017    0.000 {built-in method loads}
    71680    0.014    0.000    0.014    0.000 ga.py:91(<lambda>)
    13729    0.013    0.000    0.013    0.000 {built-in method empty}
145260/145172    0.012    0.000    0.012    0.000 {built-in method len}
   137760    0.012    0.000    0.012    0.000 {method 'random' of '_random.Random' objects}
     2588    0.011    0.000    0.033    0.000 numeric.py:2222(array_equal)
    39800    0.011    0.000    0.063    0.000 random.py:214(randint)
     6854    0.010    0.000    0.072    0.000 _methods.py:27(_prod)
    75102    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
    39919    0.007    0.000    0.007    0.000 {method 'update' of 'dict' objects}
     6854    0.006    0.000    0.006    0.000 numeric.py:1299(rollaxis)
        1    0.006    0.006    0.006    0.006 {built-in method dump}
       13    0.006    0.000    0.006    0.000 {built-in method load_dynamic}
  389/387    0.005    0.000    0.009    0.000 {built-in method __build_class__}
     6854    0.005    0.000    0.677    0.000 chromosome.py:119(mutate)
    40513    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
    50661    0.005    0.000    0.005    0.000 {method 'getrandbits' of '_random.Random' objects}
      104    0.004    0.000    0.004    0.000 {built-in method compile}
      432    0.004    0.000    0.016    0.000 <frozen importlib._bootstrap>:2016(find_spec)
     1210    0.003    0.000    0.003    0.000 {built-in method stat}
        6    0.003    0.001    0.004    0.001 {method 'sub' of '_sre.SRE_Pattern' objects}
